00af.p|nin_foot1.pcx
00b0.p|nin_foot2.pcx
00b1.p|nin_foot3.pcx
00b2.p|nin_foot4.pcx
052c.p|nst_nrm_plate.pcx
09bd.p|ihc_face1.pcx
09be.p|ihc_face2.pcx
0ab8.p|nst_dor_pan.pcx
13fc.p|nin_chest1.pcx
13fd.p|nin_chest2.pcx
13fe.p|nin_chest3.pcx
165e.p|awa_1.pcx
165f.p|awa_2.pcx
1660.p|awa_3.pcx
16a0.p|awa_s.pcx
2556.p|ihc_arm1.pcx
2557.p|ihc_arm2.pcx
2558.p|ihc_arm3.pcx
288f.p|nst_2f_flor2.pcx
2890.p|nst_2f_flor3.pcx
2891.p|nst_2f_flor4.pcx
2892.p|nst_2f_flor5.pcx
2d53.p|gc_leg1.pcx
2d54.p|gc_leg2.pcx
33db.p|go_try.pcx
38a9.p|gouraud.pcx
3c19.p|nst_nrm_flor2.pcx
3c1a.p|nst_nrm_flor3.pcx
3c53.p|nst_spot_s.pcx
3c55.p|nst_spot_u.pcx
3e71.p|gc_hip1.pcx
3e72.p|gc_hip2.pcx
3e73.p|gc_hip3.pcx
3eda.p|nst_tobukuro2s.pcx
3edc.p|nst_tobukuro2u.pcx
3efc.p|nst_tobukuro3u.pcx
40f4.p|plasma.pcx
447a.p|nst_tobukuro_s.pcx
447c.p|nst_tobukuro_u.pcx
4553.p|gc_lrleg.pcx
45c8.p|nst_flor_nrment.pcx
4aa9.p|nst_flor_op1.pcx
5196.p|gc_chest1.pcx
5197.p|gc_chest2.pcx
5691.p|gc_boot.pcx
5848.p|nst_flor_iron2s.pcx
5950.p|nst_wall_f2s.pcx
5e1c.p|nst_spot2_msk.pcx
5e49.p|sna_ear1.pcx
5e4a.p|sna_ear2.pcx
609c.p|nin_katana1.pcx
609d.p|nin_katana2.pcx
61ac.p|ihc_hand.pcx
67cb.p|nst_ceil1.pcx
67cc.p|nst_ceil2.pcx
67ce.p|nst_ceil4.pcx
6dc8.p|exit.pcx
709b.p|ihc_leg1.pcx
709c.p|ihc_leg2.pcx
709d.p|ihc_leg3.pcx
71bb.p|nst_flor_out2.pcx
7218.p|nst_flor_shad1.pcx
7219.p|nst_flor_shad2.pcx
72a3.p|ihc_chest1.pcx
72a4.p|ihc_chest2.pcx
731d.p|nst_ent_doors.pcx
78ab.p|gc_leftleg1.pcx
7b7e.p|nin_arm1.pcx
7b7f.p|nin_arm2.pcx
7b80.p|nin_arm3.pcx
7b81.p|nin_arm4.pcx
7b82.p|nin_arm5.pcx
7b83.p|nin_arm6.pcx
7b84.p|nin_arm7.pcx
7bd8.p|nst_saku_msk.pcx
7c03.p|nst_door.pcx
7f9c.p|next_stage.pcx
81b9.p|ihc_hip1.pcx
81ba.p|ihc_hip2.pcx
83dd.p|nst_nrm_nwal1.pcx
83de.p|nst_nrm_nwal2.pcx
83df.p|nst_nrm_nwal3.pcx
87a8.p|nst_corridor_wal2.pcx
8838.p|nst_corridor_flor2.pcx
8d82.p|try_again.pcx
952f.p|sna_neck2.pcx
99d9.p|ihc_boot.pcx
a0b4.p|gc_face1.pcx
a0b5.p|gc_face2.pcx
a0b6.p|gc_face3.pcx
a1f6.p|gc_neck1.pcx
a1f8.p|gc_neck3.pcx
a325.p|nst_nrm_ceil2.pcx
a345.p|nst_mass_s2brit.pcx
aa9a.p|gc_lrleg2.pcx
aa9b.p|gc_lrleg3.pcx
aabd.p|nst_flor_iron1.pcx
aabe.p|nst_flor_iron2.pcx
b063.p|nst_nrm_wall2.pcx
b064.p|nst_nrm_wall3.pcx
b065.p|nst_nrm_wall4.pcx
b268.p|nst_southwal2.pcx
ba44.p|nst_light_ns.pcx
baf5.p|col_blk.pcx
bc64.p|liq_face.pcx
c00c.p|nin_shoulder1.pcx
c00d.p|nin_shoulder2.pcx
c303.p|gc_rightleg1.pcx
